,file_name,labels
0,../dataset/dog_cats\cat.0.jpg,0
1,../dataset/dog_cats\cat.1.jpg,0
2,../dataset/dog_cats\cat.10.jpg,0
3,../dataset/dog_cats\cat.100.jpg,0
4,../dataset/dog_cats\cat.1000.jpg,0
5,../dataset/dog_cats\cat.10000.jpg,0
6,../dataset/dog_cats\cat.10001.jpg,0
7,../dataset/dog_cats\cat.10002.jpg,0
8,../dataset/dog_cats\cat.10003.jpg,0
9,../dataset/dog_cats\cat.10004.jpg,0
10,../dataset/dog_cats\cat.10005.jpg,0
11,../dataset/dog_cats\cat.10006.jpg,0
12,../dataset/dog_cats\cat.10007.jpg,0
13,../dataset/dog_cats\cat.10008.jpg,0
14,../dataset/dog_cats\cat.10009.jpg,0
15,../dataset/dog_cats\cat.1001.jpg,0
16,../dataset/dog_cats\cat.10010.jpg,0
17,../dataset/dog_cats\cat.10011.jpg,0
18,../dataset/dog_cats\cat.10012.jpg,0
19,../dataset/dog_cats\cat.10013.jpg,0
20,../dataset/dog_cats\cat.10014.jpg,0
21,../dataset/dog_cats\cat.10015.jpg,0
22,../dataset/dog_cats\cat.10016.jpg,0
23,../dataset/dog_cats\cat.10017.jpg,0
24,../dataset/dog_cats\cat.10018.jpg,0
25,../dataset/dog_cats\cat.10019.jpg,0
26,../dataset/dog_cats\cat.1002.jpg,0
27,../dataset/dog_cats\cat.10020.jpg,0
28,../dataset/dog_cats\cat.10021.jpg,0
29,../dataset/dog_cats\cat.10022.jpg,0
30,../dataset/dog_cats\cat.10023.jpg,0
31,../dataset/dog_cats\cat.10024.jpg,0
32,../dataset/dog_cats\cat.10025.jpg,0
33,../dataset/dog_cats\cat.10026.jpg,0
34,../dataset/dog_cats\cat.10027.jpg,0
35,../dataset/dog_cats\cat.10028.jpg,0
36,../dataset/dog_cats\cat.10029.jpg,0
37,../dataset/dog_cats\cat.1003.jpg,0
38,../dataset/dog_cats\cat.10030.jpg,0
39,../dataset/dog_cats\cat.10031.jpg,0
40,../dataset/dog_cats\cat.10032.jpg,0
41,../dataset/dog_cats\cat.10033.jpg,0
42,../dataset/dog_cats\cat.10034.jpg,0
43,../dataset/dog_cats\cat.10035.jpg,0
44,../dataset/dog_cats\cat.10036.jpg,0
45,../dataset/dog_cats\cat.10037.jpg,0
46,../dataset/dog_cats\cat.10038.jpg,0
47,../dataset/dog_cats\cat.10039.jpg,0
48,../dataset/dog_cats\cat.1004.jpg,0
49,../dataset/dog_cats\cat.10040.jpg,0
50,../dataset/dog_cats\cat.10041.jpg,0
51,../dataset/dog_cats\cat.10042.jpg,0
52,../dataset/dog_cats\cat.10043.jpg,0
53,../dataset/dog_cats\cat.10044.jpg,0
54,../dataset/dog_cats\cat.10045.jpg,0
55,../dataset/dog_cats\cat.10046.jpg,0
56,../dataset/dog_cats\cat.10047.jpg,0
57,../dataset/dog_cats\cat.10048.jpg,0
58,../dataset/dog_cats\cat.10049.jpg,0
59,../dataset/dog_cats\cat.1005.jpg,0
60,../dataset/dog_cats\cat.10050.jpg,0
61,../dataset/dog_cats\cat.10051.jpg,0
62,../dataset/dog_cats\cat.10052.jpg,0
63,../dataset/dog_cats\cat.10053.jpg,0
64,../dataset/dog_cats\cat.10054.jpg,0
65,../dataset/dog_cats\cat.10055.jpg,0
66,../dataset/dog_cats\cat.10056.jpg,0
67,../dataset/dog_cats\cat.10057.jpg,0
68,../dataset/dog_cats\cat.10058.jpg,0
69,../dataset/dog_cats\cat.10059.jpg,0
70,../dataset/dog_cats\cat.1006.jpg,0
71,../dataset/dog_cats\cat.10060.jpg,0
72,../dataset/dog_cats\cat.10061.jpg,0
73,../dataset/dog_cats\cat.10062.jpg,0
74,../dataset/dog_cats\cat.10063.jpg,0
75,../dataset/dog_cats\cat.10064.jpg,0
76,../dataset/dog_cats\cat.10065.jpg,0
77,../dataset/dog_cats\cat.10066.jpg,0
78,../dataset/dog_cats\cat.10067.jpg,0
79,../dataset/dog_cats\cat.10068.jpg,0
80,../dataset/dog_cats\cat.10069.jpg,0
81,../dataset/dog_cats\cat.1007.jpg,0
82,../dataset/dog_cats\cat.10070.jpg,0
83,../dataset/dog_cats\cat.10071.jpg,0
84,../dataset/dog_cats\cat.10072.jpg,0
85,../dataset/dog_cats\cat.10073.jpg,0
86,../dataset/dog_cats\cat.10074.jpg,0
87,../dataset/dog_cats\cat.10075.jpg,0
88,../dataset/dog_cats\cat.10076.jpg,0
89,../dataset/dog_cats\cat.10077.jpg,0
90,../dataset/dog_cats\cat.10078.jpg,0
91,../dataset/dog_cats\cat.10079.jpg,0
92,../dataset/dog_cats\cat.1008.jpg,0
93,../dataset/dog_cats\cat.10080.jpg,0
94,../dataset/dog_cats\cat.10081.jpg,0
95,../dataset/dog_cats\cat.10082.jpg,0
96,../dataset/dog_cats\cat.10083.jpg,0
97,../dataset/dog_cats\cat.10084.jpg,0
